"SeriousDlqin2yrs";"RevolvingUtilizationOfUnsecuredLines";"age";"NumberOfTime30.59DaysPastDueNotWorse";"DebtRatio";"MonthlyIncome";"NumberOfOpenCreditLinesAndLoans";"NumberOfTimes90DaysLate";"NumberRealEstateLoansOrLines";"NumberOfTime60.89DaysPastDueNotWorse";"NumberOfDependents"
"Y";0,964672555;40;3;0,382964747;13700;9;3;1;1;2
"N";0,602794411;25;0;0,065868263;333;2;0;0;0;0
"N";0,9999999;24;0;0,472703063;750;1;0;0;0;0
"N";0,304490668;52;0;0,808340474;3500;10;0;2;0;0
"N";0,469056842;31;0;0,048211004;9250;4;0;0;0;1
"N";0,718705378;28;0;0,170125614;3661;4;0;0;0;1
"N";0,834048027;38;0;0,393662026;13000;13;0;2;0;2
"N";0,070853769;55;0;0,073147745;13793;4;0;1;0;0
"N";0,651603452;58;0;0,241135663;7783;11;0;1;0;0
"N";0,006799093;27;1;0,681045752;764;3;0;0;0;0
"N";0,265898391;36;0;0,262611807;8384;6;0;2;0;1
"N";0,234218112;36;0;0,116614347;8600;19;0;0;0;3
"N";0,335558577;69;0;0,270448637;15000;14;0;2;0;1
"N";0,074861676;66;0;0,208842479;4500;3;0;1;0;0
"N";0,003749688;64;0;0,004061231;3200;5;0;0;1;0
"N";0,080564168;60;0;0,487288997;4916;15;0;2;0;0
"N";0,003108849;57;0;0,258939285;8333;7;0;1;0;0
"N";0,635415157;32;0;0,519493502;3000;4;0;1;0;1
"N";0,9999999;62;0;0,664221287;8314;8;0;3;0;0
"N";0,186987534;52;0;0,023993145;3500;4;0;0;0;0
"N";0,06790706;46;0;0,149103029;10200;6;0;2;0;0
"N";0,444837661;58;0;0,366545247;14000;9;0;2;1;4
"N";0;59;0;0,351699622;4500;12;0;1;0;0
"N";0,011498563;77;0;0,001998002;1000;1;0;0;0;0
"N";0,083880003;53;0;0,199647533;7943;8;0;1;0;0
"N";0,175932019;57;1;0,655812625;3500;9;0;1;0;1
"N";0;28;0;0,144616356;3166;7;0;0;0;0
"N";0;50;1;0,726566993;3477;5;0;1;0;1
"N";0,36459777;42;0;0,593899089;6916;7;0;3;0;0
"N";0,771845631;33;0;0,852429514;5000;7;0;3;0;0
"N";0,008632035;79;0;0,365151154;4200;9;0;1;0;0
"N";0,043032042;64;0;0,332016389;6833;14;0;2;0;0
"N";0,101430135;80;1;0,016196761;5000;9;0;0;0;0
"N";0,035489848;69;0;0,308438695;3400;9;0;1;0;0
"N";0,311954668;61;0;0,269281443;9866;12;0;2;0;2
"N";0,443696851;27;0;0,024340075;5833;4;0;0;0;0
"N";0,9999999;66;1;0,358101135;1937;4;1;0;0;0
"N";0,9999999;62;0;0,04965839;6000;1;0;0;0;0
"N";0,593985244;63;0;0,332698534;5250;4;0;2;0;0
"N";0,611865678;72;0;0,04578345;7600;3;0;1;0;0
"N";0,260271523;44;0;0,296854804;6962;11;0;1;0;0
"N";0,181557324;36;0;0,56071964;2000;7;0;1;0;1
"N";0,196372799;43;0;0,537485582;2600;10;0;1;0;0
"N";0,787522133;52;0;0,353860086;4416;12;0;0;0;1
"N";0,295928252;47;0;0,283765445;14000;6;0;2;0;1
"N";0,9999999;68;0;0,040493251;6000;0;0;0;0;0
"N";0,012151003;78;0;0,008886914;4500;12;0;0;0;0
"N";0,634327056;49;1;0,123125125;15000;7;0;0;0;1
"N";0,029816467;68;0;0,175139978;4464;12;0;1;0;1
"N";0,025856408;67;0;0,083799311;13054;13;0;1;0;0
"N";0,547887778;29;1;0,24651504;2725;5;0;0;1;0
"N";0,865423051;48;0;0,075848303;500;1;0;0;0;0
"N";0,696411671;52;0;0,408871921;11000;11;0;1;0;4
"N";0,544497658;32;1;0,166766647;6667;5;1;0;0;0
"N";0,948762809;27;0;0,144948404;4166;5;0;0;0;0
"N";0,016598893;30;0;0,136575616;1500;5;0;0;0;0
"N";0,093638481;49;0;0,042836573;8333;10;0;0;0;1
"N";0,283821988;63;0;0,750200803;1244;9;0;0;0;0
"N";0,155240525;52;0;0,483518065;6946;15;0;2;0;1
"N";0,067259209;29;1;0,168340507;2090;3;0;0;0;0
"N";0,687779097;62;0;0,249471161;7090;15;0;0;0;0
"N";0,033708851;41;0;0,408706353;6500;9;0;1;0;2
"N";0;55;1;0,388320836;4400;4;0;2;0;1
"N";0,100773109;41;0;0,199761673;9230;7;0;1;0;0
"N";0,9999999;37;0;0,184625639;4500;2;0;0;0;1
"N";0,012586354;79;0;0,009596162;2500;11;0;0;0;0
"N";0,024240472;64;0;0,101514142;10500;20;0;1;0;0
"N";0,047650102;63;0;0,387956894;9000;6;0;2;0;0
"Y";0,739146488;63;1;0,285156885;6150;12;0;0;0;1
"N";0,466334165;34;2;0,007495315;3201;3;0;0;0;0
"N";0,029694361;76;0;0,070513488;9600;7;0;0;0;2
"N";0,702493864;63;0;0,582162622;4697;8;0;2;0;1
"N";0,9999999;42;1;0,113421853;6250;3;3;0;1;2
"N";0,002556199;58;0;0,115826132;7752;17;0;0;0;2
"N";0,179487766;51;0;0,492529978;10173;19;0;4;0;0
"N";0,144914011;37;0;0,045366363;6700;5;0;0;0;0
"Y";0,733885463;49;2;0,369223765;8785;20;0;2;0;2
"N";0,03157211;39;0;0,644706486;3900;14;0;1;0;1
"N";0,003851709;81;0;0,000822143;3648;1;0;0;0;1
"N";0,010887967;55;0;0,725137431;2000;7;0;2;0;0
"N";0,686083014;57;0;0,16069592;11667;6;1;1;0;2
"N";0,006956358;52;0;0,003278689;2439;4;0;0;0;0
"N";0,297094601;43;1;0,603763294;3666;9;0;1;0;2
"N";0,922670104;40;0;0,207789429;9345;7;0;0;0;0
"N";0,319190816;49;0;0,358153388;9400;18;0;2;0;0
"N";0,243674266;48;0;0,179979778;8900;10;0;1;0;6
"N";0,9999999;40;1;0,19170579;3833;3;2;0;0;2
"N";0,028910707;52;0;0,013543599;5389;7;0;0;0;2
"N";0,07807727;60;0;0,566105156;3917;14;0;1;0;2
"N";0,201943642;46;0;0,394460554;10000;15;0;2;0;3
"N";0,077958915;57;0;0,053530226;6500;19;0;0;0;0
"Y";0,9999999;32;0;0,006731051;3416;1;0;0;0;3
"N";0,029643294;50;0;0,399106478;9400;15;3;4;0;0
"N";0;27;2;0,229139073;2264;5;2;0;1;0
"N";0,993335555;31;0;0,068227425;4484;6;0;0;0;1
"N";0,138793584;43;0;0,384074741;11666;9;0;5;0;0
"N";0,090641506;69;0;0,016683267;4015;2;0;0;0;0
"N";0,183676155;33;0;0,660528423;2497;9;0;1;0;0
"N";0,018124667;60;0;0,023181455;1250;4;0;0;0;1
"N";0,412657703;66;1;0,195074372;4100;7;1;0;0;0
"N";0,091201293;49;1;0,568886223;5000;15;0;2;0;0
"Y";0,814154511;50;1;0,297139683;3600;8;0;1;1;1
"N";0,078497383;52;0;0,207274054;8220;5;0;1;0;3
"N";0,029692431;58;2;0,287187752;6204;19;0;1;0;0
"N";0,062093267;42;0;0,230261579;8333;6;0;1;0;4
"N";0,551889862;42;1;0,790613718;3600;18;0;2;0;1
"Y";0,955545894;52;1;0,524949909;10480;11;0;3;0;1
"N";0,9543957;45;2;0,4842141;8836;10;0;1;0;1
"N";0,084826988;59;0;0,53418212;3612;9;0;2;0;0
"N";0,10680013;44;3;0,747375437;6000;8;0;3;0;2
