"Budget";"Movie_length";"Lead_Actor_Rating";"Lead_Actress_rating";"Director_rating";"Producer_rating";"Avg_age_actors";"X3D_available";"Genre";"Collection"
36524,125;138,7;7,825;8,095;7,91;7,995;23;"YES";"Thriller";48000
35668,655;152,4;7,505;7,65;7,44;7,47;42;"NO";"Drama";43200
39912,675;134,6;7,485;7,57;7,495;7,515;38;"NO";"Comedy";69400
38873,89;119,3;6,895;7,035;6,92;7,02;45;"YES";"Drama";66800
39701,585;127,7;6,92;7,07;6,815;7,07;55;"NO";"Drama";72400
35718,65;132,2;6,89;7,1;6,885;7,005;53;"YES";"Comedy";57400
33396,66;140,1;7,065;7,265;7,15;7,4;41;"YES";"Thriller";45800
34285,46;169,6;6,98;7,075;6,875;7,17;56;"NO";"Drama";54100
31280,205;173,5;6,91;7,075;6,85;7;55;"YES";"Comedy";33000
33352,22;159,4;6,665;6,725;6,575;6,855;45;"YES";"Thriller";37800
35424,235;167,8;6,675;6,845;6,725;7,06;29;"NO";"Drama";30000
33379,995;156,4;6,865;7,035;6,745;6,905;23;"NO";"Action";37800
32713,395;112,5;7,12;7,43;7,21;7,335;57;"YES";"Action";43400
33046,695;135,3;7,64;7,705;7,535;7,705;39;"YES";"Comedy";40800
33863,28;158;7,7;7,9;7,76;7,71;49;"NO";"Comedy";36400
32407,87;130;7,7;7,825;7,64;7,84;28;"YES";"Thriller";39800
32968,925;102,8;7,67;7,805;7,74;7,785;46;"NO";"Comedy";46200
33274,45;155,2;7,72;7,925;7,82;8,015;56;"NO";"Drama";35000
30308,08;110,1;8,1;8,24;8,07;8;41;"YES";"Action";40400
31813,485;143;8,01;8,175;8;8,215;27;"NO";"Action";36400
30941,35;171,6;8,035;8,205;7,955;8,21;44;"YES";"Action";27200
33135,575;162,7;7,945;8,14;7,83;8,06;23;"YES";"Comedy";39200
34118,81;165,2;7,91;8,01;7,845;8,275;48;"YES";"Thriller";30400
32291,215;173,5;7,825;8,01;7,935;8,04;29;"YES";"Drama";29000
32907,82;167,6;7,655;7,965;7,64;7,94;27;"YES";"Drama";31200
31102,445;159,2;7,655;7,835;7,64;7,96;35;"YES";"Thriller";27800
32291,215;163,8;7,53;7,705;7,645;7,755;59;"NO";"Drama";33200
33591,085;162,3;7,75;7,8;7,7;7,845;20;"YES";"Drama";29600
36079,725;167,9;7,715;7,825;7,655;7,895;35;"YES";"Thriller";36800
37074,07;160,8;7,735;8,03;7,82;7,935;50;"NO";"Thriller";42000
31735,715;167,6;7,74;7,91;7,815;8,07;34;"NO";"Drama";25400
33729,96;173,5;7,805;7,97;7,76;8,115;23;"YES";"Comedy";29000
33052,25;155,5;7,995;8,07;7,845;8,105;25;"NO";"Thriller";26400
31669,055;168,5;8,1;8,165;8,02;8,14;25;"YES";"Comedy";26200
33863,28;170,4;7,965;8,17;8,065;8,28;40;"YES";"Comedy";27000
32957,815;141,7;8,155;8,365;8,23;8,53;43;"YES";"Thriller";37800
32446,755;134,9;8,305;8,36;8,19;8,39;39;"NO";"Comedy";40000
32496,75;115;8,01;8,125;7,94;8,055;21;"YES";"Thriller";42000
33141,13;103,7;7,925;8,17;7,98;8,23;21;"YES";"Thriller";48400
36635,225;95,3;7,175;7,325;7,225;7,475;49;"YES";"Thriller";61600
39018,32;89,3;7,185;7,345;7,235;7,43;20;"YES";"Thriller";69800
37607,35;76,4;7,115;7,14;7;7,3;30;"NO";"Action";53200
34268,795;80,1;7,035;7,27;7,06;7,19;52;"NO";"Thriller";50600
34502,105;80;6,98;7,17;7,08;7,33;56;"YES";"Thriller";49400
33713,295;113,5;7,095;7,245;7,05;7,165;53;"NO";"Thriller";42400
31563,51;107,3;7,385;7,525;7,395;7,49;21;"NO";"Thriller";38600
32141,23;106,8;7,375;7,5;7,3;7,625;39;"YES";"Drama";40000
33496,65;159;7,085;7,18;7,125;7,23;44;"YES";"Thriller";33200
29991,445;168,8;7,01;7,16;7,02;7,07;34;"NO";"Comedy";28800
31119,11;135,5;6,945;7,05;6,85;6,98;45;"NO";"Action";38800
33124,465;119,2;6,46;6,725;6,5;6,685;21;"YES";"Thriller";39400
33968,825;136,5;6,48;6,63;6,46;6,795;30;"YES";"Drama";41000
36168,605;94,6;6,49;6,62;6,44;6,815;56;"NO";"Thriller";50000
33318,89;94,9;6,555;6,74;6,565;6,51;41;"NO";"Thriller";46800
32707,84;121,1;6,3;6,365;6,2;6,5;55;"YES";"Comedy";37800
40268,195;95,4;5,55;5,795;5,605;5,655;50;"YES";"Thriller";70800
35457,565;109,2;5,34;5,535;5,285;5,465;22;"YES";"Drama";49400
37862,88;114;5,685;5,86;5,815;5,99;45;"YES";"Drama";63200
34135,475;102,7;6,01;6,115;5,965;6,28;22;"NO";"Comedy";46600
32924,485;120,7;6,37;6,66;6,45;6,66;20;"YES";"Comedy";39200
31891,255;139,7;6,335;6,42;6,235;6,56;30;"NO";"Thriller";37400
33141,13;166,9;6,58;6,665;6,46;6,655;48;"NO";"Thriller";32000
35863,08;141,3;6,225;6,46;6,285;6,58;56;"YES";"Comedy";44400
37562,91;116,9;5,885;6,155;5,95;6,045;28;"YES";"Action";50000
39462,72;133;5,28;5,455;5,315;5,505;30;"YES";"Action";66000
34940,95;91,3;6,69;6,785;6,575;6,725;20;"NO";"Thriller";47000
32146,785;104,6;6,65;6,78;6,58;6,77;44;"NO";"Action";38800
32652,29;94,9;6,68;6,8;6,74;6,785;29;"YES";"Thriller";44000
31074,67;110,3;6,745;6,915;6,73;6,615;40;"NO";"Thriller";34800
32691,175;106,5;6,725;6,805;6,7;6,77;56;"NO";"Drama";41800
35646,435;80,1;7,24;7,465;7,205;7,52;38;"YES";"Thriller";48400
33113,355;91;7,28;7,4;7,29;7,455;46;"NO";"Action";43400
33691,075;81,3;7,27;7,52;7,195;7,44;20;"NO";"Thriller";45600
34690,975;79,7;7,32;7,385;7,25;7,47;45;"YES";"Drama";46800
34846,515;79,5;7,73;8,025;7,715;8,025;40;"NO";"Thriller";48200
34918,73;118,5;7,585;7,75;7,585;8,07;28;"NO";"Comedy";42800
34879,845;148;7,835;8,14;7,87;8,05;22;"NO";"Comedy";40000
34107,7;119,3;7,84;7,97;7,87;8,14;57;"YES";"Thriller";41600
34618,76;127,2;7,33;7,5;7,45;7,69;53;"YES";"Drama";42400
32630,07;110,1;7,735;7,885;7,59;7,785;37;"NO";"Action";40600
37368,485;107;7,25;7,36;7,3;7,29;54;"YES";"Drama";56000
36768,545;143,9;7,145;7,445;7,145;7,46;49;"YES";"Drama";47800
35007,61;105,7;7,235;7,405;7,265;7,29;20;"NO";"Thriller";49600
34257,685;120,2;7,24;7,41;7,165;7,385;34;"YES";"Drama";45800
35490,895;121,5;7,515;7,645;7,505;7,775;23;"NO";"Drama";47800
36829,65;129,6;7,625;7,925;7,755;7,815;56;"NO";"Thriller";53200
33413,325;118,6;7,69;7,92;7,755;7,78;50;"YES";"Thriller";45000
34002,155;130,3;8,035;8,13;8,08;8,26;43;"YES";"Comedy";44400
38923,885;159,8;8,25;8,455;8,28;8,175;28;"NO";"Thriller";47200
39323,845;136,6;8,17;8,31;8,135;8,555;31;"YES";"Comedy";57400
35646,435;139,6;8,43;8,535;8,425;8,425;58;"YES";"Drama";45200
35579,775;147,4;8,42;8,525;8,295;8,575;23;"NO";"Thriller";44000
35785,31;127,1;8,02;8,295;8,015;8,34;60;"NO";"Drama";45800
34502,105;102,4;8,04;8,225;8,095;8,305;46;"NO";"Action";50000
34713,195;150,8;8,095;8,33;8,04;8,305;54;"NO";"Action";41200
36801,875;131,3;8,215;8,385;8,12;8,29;46;"NO";"Thriller";56800
34235,465;143,1;8,21;8,325;8,23;8,245;21;"NO";"Thriller";42800
44823,295;149,5;8,15;8,34;8,215;8,305;53;"YES";"Thriller";77400
43440,1;110,4;8,23;8,29;8,2;8,285;25;"YES";"Action";87600
41195,88;136;8,085;8,32;8,165;8,435;31;"NO";"Thriller";66400
37368,485;153,4;8,45;8,66;8,595;8,74;24;"YES";"Drama";55000
