"SEX";"MARITAL_STATUS";"AGE";"QUANT_DEPENDANTS";"MONTHS_IN_RESIDENCE";"MONTHS_IN_THE_JOB";"PROFESSION_CODE";"PERSONAL_NET_INCOME";"DELINQ"
"M";"S";24;0;120;60;704;3100;"1"
"F";"D";39;0;120;24;722;1349;"0"
"M";"C";36;0;156;168;68;900;"0"
"F";"S";47;0;300;264;310;360;"0"
"M";"S";54;0;192;0;13;1375;"0"
"M";"O";71;0;312;0;13;541;"0"
"F";"V";52;0;120;60;13;180;"0"
"F";"S";24;0;240;48;4;750;"0"
"F";"S";20;0;228;0;999;255;"0"
"F";"V";40;0;300;0;712;875;"1"
"F";"C";40;0;180;120;950;1500;"0"
"F";"C";37;0;96;0;720;0;"0"
"F";"C";47;0;360;252;165;600;"0"
"M";"S";55;0;360;12;13;837;"0"
"F";"S";24;0;12;12;653;249;"0"
"M";"S";40;0;324;84;48;762;"0"
"M";"S";21;0;252;12;60;300;"0"
"M";"C";45;0;120;120;999;1200;"0"
"F";"S";32;0;240;72;131;900;"0"
"F";"V";64;0;420;408;703;360;"0"
"F";"S";37;0;444;0;999;500;"0"
"F";"S";37;0;444;12;110;411;"0"
"M";"S";20;0;120;24;514;750;"0"
"M";"C";37;0;12;96;38;1020;"0"
"M";"S";23;0;120;0;312;250;"1"
"F";"S";35;0;420;24;855;297;"1"
"M";"S";21;0;12;12;40;260;"0"
"F";"C";42;0;36;0;131;700;"0"
"F";"D";52;0;216;132;703;135;"0"
"F";"V";51;0;300;0;703;180;"0"
"F";"V";64;0;288;0;703;492;"0"
"F";"C";46;0;12;120;718;3000;"0"
"F";"C";49;0;192;0;950;1500;"1"
"F";"C";43;0;300;60;26;350;"0"
"F";"S";23;0;276;24;950;1000;"0"
"F";"C";49;0;252;96;113;2000;"0"
"F";"S";34;0;12;72;853;339;"0"
"M";"S";21;0;252;0;38;300;"1"
"M";"C";33;0;396;12;68;563;"1"
"F";"D";45;0;216;72;950;1000;"0"
"F";"S";41;0;96;0;78;221;"0"
"F";"S";41;0;288;0;703;571;"0"
"M";"S";23;0;120;12;999;168;"0"
"F";"S";37;0;72;192;219;786;"0"
"F";"S";18;0;216;12;38;480;"0"
"F";"C";50;0;300;0;165;270;"0"
"M";"S";26;0;240;60;950;500;"0"
"F";"D";36;0;360;120;950;500;"0"
"M";"O";41;0;492;24;522;720;"0"
"F";"O";59;0;180;60;130;350;"0"
"F";"S";19;0;24;0;950;270;"0"
"M";"S";36;0;72;72;707;600;"1"
"F";"C";27;0;120;0;205;180;"1"
"F";"S";26;0;192;24;255;800;"0"
"F";"S";31;0;120;0;950;500;"1"
"M";"C";48;0;204;108;950;1200;"1"
"F";"S";36;0;12;12;12;1600;"0"
"M";"C";35;0;96;144;222;580;"0"
"M";"S";23;0;156;12;26;180;"0"
"F";"C";35;0;60;24;261;600;"1"
"F";"V";67;0;480;240;703;355;"0"
"F";"C";29;0;84;12;999;940;"0"
"M";"S";20;0;60;0;118;321;"0"
"F";"S";27;0;108;0;855;209;"0"
"F";"C";38;0;0;0;950;600;"0"
"F";"S";24;0;12;12;165;400;"0"
"M";"C";41;0;24;0;211;0;"0"
"M";"S";30;0;360;12;218;350;"0"
"M";"C";47;0;240;48;308;890;"1"
"F";"S";61;0;360;360;16;1094;"1"
"F";"C";71;0;408;84;13;180;"1"
"M";"S";20;0;240;12;514;966,15;"0"
"F";"S";20;0;240;12;801;250;"1"
"F";"S";51;0;96;0;205;400;"0"
"F";"S";21;0;180;0;60;250;"0"
"F";"S";21;0;12;12;801;296;"0"
"F";"S";31;0;12;0;506;800;"0"
"F";"C";38;0;144;72;950;1300;"0"
"M";"S";21;0;48;48;804;1677;"0"
"F";"C";34;0;408;12;732;399;"0"
"F";"S";21;0;168;12;950;600;"0"
"F";"S";25;0;12;12;999;250;"0"
"M";"C";47;0;96;0;13;370;"0"
"F";"C";45;0;72;0;855;0;"0"
"F";"S";35;0;300;24;123;241;"1"
"F";"V";49;0;360;12;703;180;"0"
"F";"C";33;0;72;120;29;600;"0"
"F";"C";23;0;36;12;732;1000;"0"
"F";"S";48;0;204;12;13;390;"0"
"F";"O";35;0;216;12;205;300;"0"
"F";"S";29;0;24;72;653;317;"0"
"M";"C";31;0;120;12;520;480;"0"
"F";"C";64;0;228;48;13;484;"0"
"M";"C";44;0;120;24;950;500;"0"
"F";"S";21;0;120;12;853;240;"0"
"M";"S";20;0;240;24;30;350;"0"
"F";"C";53;0;312;396;131;250;"0"
"M";"S";23;0;132;60;999;501;"0"
"F";"S";52;0;240;240;703;466;"0"
"F";"S";24;0;276;24;205;480;"0"
"M";"S";19;0;228;0;265;300;"1"
"F";"S";28;0;336;24;807;192;"0"
"F";"C";49;0;360;24;215;600;"1"
"F";"C";27;0;60;12;999;500;"0"
"F";"C";53;0;24;120;999;400;"0"
"F";"S";23;0;12;48;18;630;"0"
"M";"C";36;0;24;180;702;500;"0"
"F";"C";34;0;120;0;35;625;"0"
"F";"S";35;0;132;72;165;240;"0"
"F";"S";48;0;240;84;40;1500;"0"
"F";"S";56;0;324;72;13;441;"0"
"F";"S";22;0;36;12;999;310;"0"
"F";"S";35;0;36;0;950;350;"0"
"F";"S";21;0;48;48;40;390;"0"
"M";"C";30;0;96;12;999;700;"1"
"F";"S";21;0;264;12;30;387;"0"
"M";"C";19;0;0;0;801;190;"0"
"F";"V";53;0;0;24;725;450;"0"
"F";"S";22;0;24;24;713;396;"0"
"F";"S";35;0;240;0;131;320;"1"
"F";"S";26;0;12;24;26;220;"0"
"F";"S";44;0;216;192;13;180;"0"
"M";"C";30;0;60;48;999;1014;"0"
"F";"S";32;0;360;60;166;500;"0"
"F";"S";47;0;240;0;999;800;"0"
"M";"V";42;0;240;12;522;746;"0"
"F";"C";22;0;24;0;950;220;"0"
"F";"S";22;0;60;12;38;229;"0"
"F";"C";45;0;96;288;713;982;"0"
"F";"O";51;0;240;0;950;1566;"0"
"F";"C";33;0;24;180;501;500;"0"
"F";"S";21;0;252;48;60;228;"0"
"F";"C";39;0;120;0;210;900;"0"
"M";"S";19;0;60;48;39;154;"0"
"F";"S";28;0;24;0;251;350;"1"
"F";"S";22;0;156;12;950;189;"1"
"F";"S";61;0;84;708;725;486;"1"
"F";"C";42;0;504;24;113;1500;"0"
"F";"S";38;0;12;120;65;600;"1"
"F";"S";37;0;192;12;855;206;"0"
"M";"C";34;0;24;12;504;679;"0"
"F";"S";32;0;360;12;501;960;"0"
"F";"C";52;0;36;24;26;380;"0"
"F";"C";28;0;336;48;222;1433;"0"
"F";"C";34;0;48;48;950;250;"0"
"F";"S";31;0;12;0;999;0;"0"
"F";"S";40;0;228;108;950;500;"1"
"F";"C";37;0;360;0;999;0;"0"
"M";"C";35;0;24;168;999;828;"0"
"F";"C";44;0;12;12;205;227;"0"
"F";"C";53;0;48;24;205;510;"0"
"M";"S";18;0;12;0;219;287;"0"
"F";"S";21;0;240;0;113;350;"0"
"F";"O";22;0;96;24;60;313;"0"
"F";"O";42;0;12;48;703;575,86;"0"
"F";"O";59;0;120;12;703;380;"0"
"F";"O";21;0;300;0;721;280;"0"
"F";"S";37;0;120;144;65;800;"0"
"F";"S";51;0;420;180;131;1200;"0"
"M";"C";29;0;120;0;222;850;"0"
"F";"C";29;0;120;0;131;350;"0"
"F";"S";20;0;240;12;999;300;"0"
"F";"S";21;0;60;0;950;900;"0"
"M";"V";67;0;84;192;703;726;"0"
"M";"C";30;0;348;36;999;1000;"1"
"F";"S";21;0;240;60;950;300;"0"
"F";"S";25;0;0;12;205;370;"0"
