"price";"bedrooms";"bathrooms";"sqft_living";"sqft_lot";"floors";"condition";"yr_built"
790000;3;3;2840;206910;2;3;1999
425000;4;1,75;1820;6000;1;3;1942
270000;2;1;1040;5700;1;3;1922
260000;2;1,5;980;1296;2;3;2001
250000;4;2;2130;8400;1;3;1962
7e+05;4;2,75;3350;7857;2;3;2004
395000;4;1,75;1540;5120;1;5;1943
315000;3;1;890;5200;1;3;1957
410000;4;2,25;2060;7283;1;3;1963
459900;3;1,75;2340;51836;1,5;3;1978
225800;4;1;1100;7110;1;4;1907
495000;4;2,5;2480;91911;1;4;1973
375000;4;2,25;2020;12500;2;2;1966
850000;3;2,5;2940;10809;2;3;1992
360000;5;1,75;1550;5225;1,5;4;1941
515000;3;2,5;2430;4203;2;3;2001
119900;2;1;700;3180;1;3;1951
299800;2;1;790;5240;1;4;1925
782000;2;1,5;1570;3600;1,5;4;1906
415000;3;1,5;1090;8400;1;4;1966
469950;3;3,25;1760;1778;3;3;2008
769950;3;2;2190;5400;1;5;1952
875000;4;2;2520;6000;1;3;1921
4e+05;3;1,75;1560;8456;1;5;1970
396000;2;1,5;950;865;3;3;2006
367000;3;1;810;7000;1;3;1968
470000;2;1;900;5512;1;3;1947
796000;3;1;1980;3243;1,5;3;1912
8e+05;3;2,25;2380;11824;1;4;1972
230000;3;2,25;1500;7210;1;3;1984
428000;3;2,5;2230;32660;1;4;1977
579000;4;2,25;2030;8764;2;4;1983
587100;3;2,25;1670;6414;1;4;1961
400950;4;2,5;2578;4554;2;3;2014
810000;3;1,5;1520;9041;1;4;1954
435000;3;2,75;2692;6197;2;3;2007
428000;2;2;1350;3900;1;3;2003
530000;4;4,5;4060;10800;2;3;2007
253101;3;2;1239;6036;1;3;2009
335000;3;2,5;2260;8040;2;3;1990
534640;3;2,5;2130;3500;1;4;1994
305000;3;2,5;2100;6825;2;3;1994
720000;2;1;1370;9460;1;3;1950
380000;3;2,25;1520;1464;2;3;2010
851500;3;2;3200;18184;1;5;1977
394000;3;1;1450;7930;1;4;1923
350000;3;1;1680;8010;1;3;1951
240000;2;1;870;8400;1;3;1960
