"price";"bedrooms";"bathrooms";"sqft_living";"sqft_lot";"floors";"condition";"lat";"long"
327500;4;2,25;2240;9600;2;3;47,361;-122,281
705000;3;1,75;2180;10221;1;4;47,5885;-122,248
549000;4;1,75;1290;3060;2;4;47,6798;-122,348
510000;4;2,5;1620;8125;2;4;47,6255;-122,059
449950;3;2;1560;4080;2;3;47,6892;-122,319
195000;3;1;1310;9554;1;3;47,2949;-122,285
287000;3;2,5;1820;8722;1,5;3;47,2137;-121,989
660000;3;1,75;1750;5200;1;4;47,6995;-122,383
710000;5;2,5;2570;9600;1;3;47,7216;-122,282
388000;3;1,75;1760;9277;1;4;47,4977;-122,358
688888;3;3,25;2580;9825;1,5;4;47,5314;-122,054
641500;1;1;1000;9084;1;3;47,5007;-122,382
579100;2;1;1070;2754;1;3;47,6755;-122,331
220000;4;1,75;1660;11664;1;3;47,4943;-122,331
781000;3;1,5;1290;8175;1;4;47,6296;-122,205
170000;2;1;1280;21750;1,5;5;47,3096;-122,241
512000;4;2,5;2600;4506;2;3;47,5146;-122,188
532500;3;1,75;1330;5000;2;4;47,5724;-122,384
675000;2;1;930;36478;1;3;47,5699;-122,164
495000;5;1,75;2760;18112;1;3;47,7363;-122,298
305000;3;1;1120;10125;1;3;47,4794;-122,078
465000;4;2,25;2340;13383;1;3;47,6211;-122,037
675000;3;3,25;1510;2064;2;3;47,6398;-122,345
355000;4;2,5;2130;9268;2;4;47,262;-122,22
390000;4;1,75;2700;7875;1,5;4;47,454;-122,144
529500;2;1;900;4800;1;4;47,6575;-122,4
403900;4;2,5;2050;8909;1;4;47,398;-122,31
521000;3;2;1870;5455;1;5;47,7029;-122,297
528000;4;2,75;2050;7171;1;3;47,6194;-122,042
1200000;4;3,5;4560;16643;1;3;47,5521;-122,115
295832;5;1;1410;6400;1;5;47,4207;-122,334
498000;2;2;1140;8282;1;3;47,6949;-122,21
550000;4;1,75;2150;9000;1;4;47,6812;-122,113
