"price";"bedrooms";"bathrooms";"sqft_living";"sqft_lot";"floors";"lat";"long";"yr_built"
4e+05;3;2;1760;6875;1;47,74;-122,093;1967
271900;3;2;1450;8771;2;47,1947;-121,989;1991
495500;3;1,75;2130;6360;1;47,7059;-122,301;1959
320000;3;1;960;6180;1;47,5518;-122,279;1910
436000;2;1;790;6600;1;47,6149;-122,293;1949
1055000;3;3,25;2990;189852;2;47,746;-122,138;1974
495000;3;1,75;2080;3000;1;47,6853;-122,35;1925
1e+06;4;2,75;3090;16538;3;47,5803;-122,403;1919
564000;4;1,75;1960;6138;1;47,6968;-122,299;1960
585000;5;1,75;1880;16617;1;47,6003;-122,132;1963
229900;3;1,75;1100;7224;1;47,3717;-122,277;1981
318000;3;2,25;1250;1017;3;47,7099;-122,333;2008
664000;4;2,5;1870;16200;1;47,6651;-122,174;1974
1310000;5;3;3650;16600;1;47,56;-122,144;1978
1058800;6;2,75;2980;20000;1;47,7599;-122,375;1965
1480000;4;2,25;3920;7200;2;47,5731;-122,284;1928
1260500;4;2,5;3730;16950;2;47,5678;-122,228;1990
399000;2;1;700;3400;1;47,6212;-122,296;1946
235000;3;1;1430;15246;1;47,4075;-122,214;1961
596000;2;1;1040;4880;1;47,6809;-122,311;1910
235000;3;1;1060;7473;1;47,3699;-122,309;1959
240000;3;1,5;1450;9477;1;47,4215;-122,203;1963
241000;2;2;1470;3128;2;47,349;-122,021;2005
875000;4;3,5;2850;4416;1,5;47,6835;-122,342;1926
329950;3;1;1000;9170;1;47,4405;-122,134;1980
384900;5;2,5;3090;12750;1;47,3408;-122,335;1968
937500;4;4;5545;871200;2;47,676;-121,882;2003
675000;4;2,25;2760;12100;2;47,6285;-122,058;1976
460000;3;1,75;1440;7070;1;47,6947;-122,125;1980
260000;2;1;570;81893;1;47,4433;-122,444;1936
260000;3;2,25;1920;9680;1;47,412;-122,195;1961
527000;4;2,25;2330;19436;2;47,7663;-122,215;1987
334999;3;2,5;1650;13816;2;47,6553;-121,913;1998
750000;4;2;2640;5000;2;47,678;-122,375;1949
349000;4;2,5;1830;4694;2;47,3573;-122,016;2003
241000;3;2;1770;7000;1;47,3321;-122,261;1986
650000;5;2,25;2400;13450;1;47,6007;-122,117;1957
340000;3;1,75;1270;8422;1;47,7601;-122,197;1967
228000;3;1;1190;9199;1;47,4258;-122,322;1955
1295000;5;3,75;3490;15246;1;47,5479;-122,212;1968
233000;3;1;1250;6180;1,5;47,7474;-122,327;1955
530000;3;2,25;2010;11817;2;47,5665;-122,023;1986
385000;3;2;1010;7380;1;47,6273;-122,062;1982
273500;3;2,5;1550;3402;2;47,3523;-122,212;2009
365000;3;2,5;2200;7350;1;47,4395;-122,161;1988
648000;5;2,25;2410;12000;2;47,5434;-122,175;1973
2250000;3;3,25;3890;3452;2;47,626;-122,323;2006
292000;2;1;880;5500;1;47,5573;-122,289;1904
585000;5;1,75;2000;3750;2;47,6618;-122,355;1921
785950;4;3;2530;4560;1,5;47,6287;-122,3;1925
275000;2;1;840;4000;1;47,5531;-122,307;1942
560000;4;1,75;2120;6250;1;47,5506;-122,385;1917
245000;3;2,25;1422;3677;2;47,3204;-122,178;2012
365000;3;2,25;1310;915;2;47,5738;-122,293;2007
382000;2;1;870;10492;1;47,5467;-122,365;1937
2160000;3;3,5;3080;6495;2;47,6321;-122,393;1996
589950;3;2,75;1670;1350;3;47,5763;-122,408;2014
230000;3;2;1450;11204;1;47,2639;-122,252;2003
280000;3;2;1020;889;2;47,5434;-122,375;2009
346950;3;2,5;2040;4348;2;47,3517;-121,999;2006
246000;3;1;1400;7410;1;47,4798;-122,343;1944
542500;5;3,25;3010;1074218;1,5;47,4564;-122,004;1931
110000;2;1;760;4746;1;47,4836;-122,214;1930
262000;4;2,5;1560;7800;2;47,514;-122,316;1997
255000;2;1;740;5000;1;47,5298;-122,273;1926
315000;3;1;1170;62290;2;47,5104;-121,787;1986
594000;4;2,75;2720;4613;2;47,7352;-122,223;2005
310000;3;2;2070;9195;1;47,6491;-122,061;1982
313000;3;1;1510;10369;1;47,4808;-122,099;1968
315000;3;1,75;1460;7884;1;47,4457;-122,128;1975
1400000;4;2,25;3780;5160;2;47,6275;-122,308;1907
425000;4;1,75;2520;11017;1;47,7604;-122,356;1956
709000;3;2;2360;18000;1;47,7133;-122,367;1951
635000;3;3;2290;1407;2,5;47,5446;-122,017;2014
1095000;3;2,5;2550;5100;2;47,6757;-122,326;2014
1100000;5;2,75;2520;4643;1,5;47,6348;-122,301;1916
299000;3;2,75;3080;19635;1;47,3841;-122,284;1958
260000;3;1,75;1360;15210;1;47,3657;-122,047;1987
1150000;4;2,25;3740;18000;1;47,7027;-122,378;1951
625000;4;2,25;2470;17008;2;47,5924;-122,048;1979
925000;4;2,5;3110;11422;2;47,6833;-122,271;1989
342500;5;2,25;2100;10726;1;47,4922;-122,134;1963
320000;2;1;1140;3834;1,5;47,5642;-122,378;1911
355000;2;1,5;1140;2500;1;47,5707;-122,359;1988
243000;3;1;1500;6600;1;47,4845;-122,33;1970
435000;4;2,5;2440;5350;2;47,4891;-122,149;2003
525000;3;2,25;1750;1879;3;47,6722;-122,391;2001
520000;3;2;1510;3760;1;47,5425;-122,39;1925
630000;3;2;1470;6000;1;47,6829;-122,202;1950
940000;3;1;1220;8119;1;47,6328;-122,236;1955
387000;3;2,25;1760;45133;2;47,5124;-121,866;1984
305000;3;2,5;1260;1622;3;47,7325;-122,343;2009
449400;4;3;2490;5064;2;47,5139;-122,189;2007
450000;3;2,5;1480;1961;2;47,5478;-122;2005
8e+05;4;1,75;2150;9148;1;47,5828;-122,197;1955
739000;4;2,5;2780;6737;2;47,5656;-122,122;2002
1750000;4;4,5;4650;7660;2;47,6349;-122,198;2008
401000;3;1,5;1470;6867;1;47,7495;-122,327;1955
620000;3;2,25;2520;212137;2;47,7384;-121,878;2005
572115;4;3,25;3230;4838;2;47,3559;-122,023;2014
519000;2;2;1560;4823;1;47,7111;-122,032;2004
275000;3;1,5;1410;9000;1;47,7635;-122,35;1953
465000;3;1;1150;18200;1;47,4262;-122,187;1959
665000;3;3,5;2460;14155;2;47,7743;-122,279;2014
440000;1;1;1160;64469;1;47,7433;-122,082;2009
379600;3;1,75;1270;12420;1;47,5387;-122,179;1962
350000;3;1,5;980;7790;1;47,7141;-122,213;1969
640500;3;1;1070;4505;1;47,5305;-122,384;1919
597000;4;2,5;2340;7877;2;47,73;-122,315;2004
879000;3;3;3030;5156;1,5;47,647;-122,369;1929
1150000;4;3,25;4740;49091;2;47,6624;-122,071;1990
425000;4;2,5;3052;12145;2;47,2598;-122,304;2004
277500;2;1,5;1190;1236;3;47,7274;-122,357;2005
467000;3;2,5;1425;1179;3;47,6963;-122,318;2008
338000;2;1;1470;5566;1;47,5348;-122,269;1919
645000;4;2,25;2070;8720;1;47,6678;-122,182;1974
520000;4;2;2000;6380;2;47,6956;-122,303;1949
569000;3;3,25;2220;8227;1,5;47,5665;-122,316;1929
462608;3;2,5;2010;2778;2;47,5528;-121,999;2014
279950;3;1,75;1510;11234;1;47,7571;-122,328;1965
1096500;5;3,25;4010;12110;2;47,5228;-122,151;2003
284000;3;2,25;2080;2050;1,5;47,4199;-122,157;2003
775000;4;3,5;3390;3960;2;47,5406;-121,995;2008
550000;3;1,75;1440;8957;1;47,6008;-122,118;1957
552000;3;2,5;1840;9900;1;47,6131;-122,151;1978
309000;3;1;1300;7200;1;47,5063;-122,369;1952
369000;3;1,75;1300;3844;1;47,7024;-122,355;1985
345000;3;2,25;2670;37089;2;47,3347;-122,077;1990
1450000;3;2,75;3940;9671;1;47,5654;-122,158;1967
650000;2;1,5;1900;4450;1;47,5834;-122,293;1916
1398000;3;2,5;2910;10044;2;47,5845;-122,199;1989
415000;3;1;1170;6700;1;47,7122;-122,29;1957
3e+05;3;2;1310;9855;1;47,7296;-122,241;1962
160000;3;1;880;8976;1;47,3056;-122,368;1966
990000;4;3,75;3450;4940;2;47,692;-122,338;2006
554000;2;2;1870;5580;1;47,7101;-122,031;2004
706000;4;2,5;2510;5436;2;47,6894;-122,016;2011
380000;3;2,25;1600;39848;1;47,1991;-122,013;1958
190000;2;1;930;11450;1;47,4862;-122,264;1946
4e+05;3;1,5;1890;6183;1;47,5396;-122,269;1967
423000;3;1,75;1820;6038;1;47,5233;-122,378;1952
285000;1;1,5;810;3211;2;47,6939;-122,184;1982
360000;3;1,75;1810;7200;1;47,4993;-122,364;1959
90000;1;1;560;4120;1;47,5335;-122,348;1947
484998;4;2,5;1540;1870;2;47,5524;-121,999;2014
528000;5;2,25;2940;38009;1;47,7653;-122,077;1977
474950;3;2,25;1850;2575;2;47,5525;-122,273;2013
515000;5;3,25;2740;9629;1;47,7645;-122,197;1977
399000;3;2;1940;16300;1;47,774;-122,283;1978
232603;3;1,75;1750;11461;2;47,3173;-122,21;1976
595000;4;2;2020;2849;2;47,6831;-122,329;1960
810000;4;1;2150;3588;2;47,5767;-122,378;1926
537000;4;2;1560;7104;1,5;47,6714;-122,28;1945
105500;2;1;930;7740;1;47,4611;-122,324;1932
256000;3;1;950;4000;1;47,5232;-122,284;1949
515000;3;2,5;2600;4506;2;47,7353;-122,222;2003
362362;2;1;710;4000;1;47,5535;-122,269;1909
650000;1;1;920;91476;1,5;47,448;-122,472;1996
420000;4;1,5;1690;9391;1;47,7438;-122,329;1960
488000;3;2,5;1940;5660;2;47,7511;-122,17;2001
403500;5;2,5;3600;17300;1;47,4468;-122,341;1968
515000;4;1,75;1730;7980;1;47,6219;-122,138;1965
3e+05;4;2,5;2500;4750;2;47,3666;-122,122;2003
397000;3;2;1100;9165;1;47,7304;-122,231;1969
614950;3;1;1500;2400;1,5;47,6333;-122,362;1900
190500;3;2;1390;10155;1;47,2575;-122,305;1980
450000;4;1,75;1640;1480;1;47,6684;-122,314;1912
390000;3;3;1550;1608;2;47,6042;-122,303;2001
479200;3;2;1510;3750;1,5;47,5737;-122,383;1928
