"Budget";"Movie_length";"Lead_Actor_Rating";"Lead_Actress_rating";"Director_rating";"Producer_rating";"Trailer_views";"X3D_available";"Genre";"Collection"
32607,85;106,5;6,62;7,57;8,175;7,02;469624;"YES";"Action";49100
35140,93;126;7,685;7,88;7,765;7,955;444948;"YES";"Thriller";48800
34241,02;164,8;8,345;8,48;8,42;8,66;369907;"YES";"Comedy";43400
34091,035;172,8;7,925;7,7;8,395;8,475;291101;"YES";"Comedy";66700
32163,45;131,5;6,72;6,85;6,825;6,965;405787;"YES";"Comedy";40600
37301,825;155,1;8,595;8,685;8,5;8,87;495560;"YES";"Thriller";45600
32602,295;119,8;7,25;7,545;7,25;7,495;483878;"NO";"Thriller";39000
34490,995;136,5;5,34;7,825;6,055;9,03;406685;"YES";"Drama";38900
32607,85;165,9;7,385;6,725;8,58;8,34;466687;"YES";"Thriller";55800
31280,205;173,5;6,91;7,075;6,85;7;295168;"YES";"Comedy";33000
39112,755;83,5;6,08;6,095;5,945;6,22;524749;"YES";"Drama";58000
36624,115;168,1;9,09;6,785;7,535;9,11;380129;"NO";"Thriller";48600
31702,385;167;8,86;9,07;6,85;8,215;402950;"YES";"Comedy";29700
32707,84;172,4;7,99;9,04;6,77;6,83;418266;"NO";"Comedy";36600
31374,64;161,1;8,935;9,03;8,9;9,23;455145;"NO";"Comedy";41600
33052,25;155,5;7,995;8,07;7,845;8,105;299587;"NO";"Thriller";26400
43623,415;106,7;7,315;7,485;7,35;7,615;546954;"NO";"Comedy";97000
36379,695;124,5;6,89;7,125;6,865;7,195;479856;"NO";"Comedy";54200
38785,01;91,2;7,095;7,32;7,245;7,355;546989;"NO";"Comedy";66200
38612,805;110,3;7,7;9,48;9,14;8,305;534560;"YES";"Thriller";41400
25708,54;173,5;9,115;9,23;9,11;9,435;233720;"NO";"Comedy";35800
31202,435;143,7;8,48;8,36;5,515;8,075;212912;"NO";"Comedy";14800
46312,035;146,8;7,97;8,09;8,05;8,21;545730;"YES";"Thriller";23600
32235,665;162,5;9,01;9,15;9,015;9,015;439085;"YES";"Action";33600
36318,59;132,3;7,9;7,14;7,655;8,59;405008;"NO";"Drama";40500
35079,825;101,2;6,73;6,5;7,44;8,975;437611;"YES";"Drama";57300
