"Budget";"Movie_length";"Lead_Actor_Rating";"Lead_Actress_rating";"Director_rating";"Producer_rating";"Trailer_views";"Genre";"Collection"
37490,695;127,2;8,75;5,445;8,9;7,455;481269;"Drama";65700
38568,365;158;8,555;9,495;9,17;7,36;467457;"Thriller";40000
37562,91;116,9;5,885;6,155;5,95;6,045;469499;"Action";50000
36396,36;112;8,255;8,33;8,815;8,85;340338;"Thriller";49300
35063,16;125,4;7,985;8,075;7,965;7,995;465487;"Action";42400
38168,405;154,3;8,835;9,135;6,185;9,365;507193;"Thriller";56900
38112,855;116,3;8,85;8,575;9,18;8,235;400821;"Thriller";57900
35718,65;105,7;8,75;8,09;5,45;9,095;518438;"Comedy";41400
37740,67;172,3;9,215;9,465;9,24;9,365;349344;"Comedy";26600
33113,355;162,3;7,375;8,335;9,18;8,715;407077;"Comedy";21300
30291,415;171,4;7,97;6,66;7,91;9,22;400821;"Action";36800
33196,68;168,2;8,615;8,79;7,96;9,26;431316;"Action";37800
32602,295;119,8;7,25;7,545;7,25;7,495;483878;"Thriller";39000
31496,85;102,3;8,46;8,755;8,465;8,72;394787;"Action";46200
34174,36;173,5;8,995;9,07;9,015;9,095;321678;"Comedy";16400
32713,395;112,5;7,12;7,43;7,21;7,335;407557;"Action";43400
35063,16;120,7;5,965;8,21;8,015;4,75;462490;"Drama";43100
33496,65;115,9;7,225;8,805;8,8;8,65;447528;"Thriller";44700
32235,665;162,5;9,01;9,15;9,015;9,015;439085;"Action";33600
33557,755;123,4;7,535;7,785;7,565;7,67;491464;"Comedy";40800
31813,485;143;8,01;8,175;8;8,215;463328;"Action";36400
31624,615;155,3;7,925;8,74;6,245;9,165;540041;"Comedy";20700
35690,875;135,5;9,155;9,36;7,16;6,985;467883;"Thriller";38500
29463,72;107;7,685;6,8;7,725;7,07;394329;"Drama";32000
33968,825;136,5;6,48;6,63;6,46;6,795;502413;"Drama";41000
43134,575;136;8,865;8,79;8,47;9,42;526836;"Thriller";70900
22986,59;88,2;8,345;9,235;5,85;5,505;439565;"Thriller";30100
32630,07;92;8,9;6,165;9,06;8,93;437611;"Thriller";73700
35102,045;166,8;8,985;8,575;7,16;8,75;514434;"Comedy";32500
29685,92;172,3;8,125;9,07;8,735;9,21;483741;"Action";35400
34402,115;151,6;8,94;9,07;9,005;9,11;356325;"Thriller";22000
46312,035;146,8;7,97;8,09;8,05;8,21;545730;"Thriller";83400
35418,68;148,3;7,25;8,885;5,94;8,895;488560;"Comedy";35600
31069,115;156,3;8,695;6,725;8,735;8,985;456314;"Thriller";49800
33352,22;157,6;8,78;9,02;8,815;8,99;454602;"Action";40600
39373,84;94,3;6,28;6,5;6,18;6,425;489220;"Action";64400
34285,46;172;8,42;7,965;7,89;8,955;362344;"Thriller";46000
43440,1;110,1;9,26;6,34;9,07;9,055;412012;"Comedy";64900
32496,75;115;8,01;8,125;7,94;8,055;482433;"Thriller";42000
29285,96;138,9;7,91;7,97;7,08;8,925;510207;"Thriller";53500
34918,73;118,5;7,585;7,75;7,585;8,07;496661;"Comedy";42800
32907,82;167,6;7,655;7,965;7,64;7,94;414145;"Drama";31200
35190,925;171,7;8,89;8,965;8,84;9,085;411162;"Thriller";36200
35063,16;173,5;9,13;7,84;9,08;9,165;432078;"Thriller";49200
32291,215;173,5;7,825;8,01;7,935;8,04;365213;"Drama";29000
33779,955;157,9;8,63;8,76;8,6;8,575;438369;"Drama";40000
33996,6;115,8;7,5;9,015;7,845;8,99;402396;"Comedy";34400
32502,305;76,4;7,27;9,07;7,195;8,97;354464;"Thriller";36000
38212,845;115,4;8,085;8,345;9,095;9,19;438369;"Comedy";39300
32752,28;172,6;8,025;6,5;5,295;7,095;537248;"Thriller";40000
34357,675;172,2;8,785;8,9;8,815;8,98;416481;"Comedy";28200
36168,605;102,4;8,47;4,785;6,21;6,95;450203;"Thriller";50200
33113,355;173,5;6,525;8,755;7,965;6,215;533135;"Comedy";46800
27880,545;173,5;9,185;9,34;9,145;9,45;233100;"Comedy";28800
28636,025;173,5;9,08;9,315;9,195;9,235;375488;"Thriller";32600
33141,13;159,2;6,335;9,33;8,295;9,095;458882;"Drama";40800
39912,675;112,4;7,585;7,785;7,66;7,835;520707;"Thriller";69800
36179,715;163,4;8,47;8,695;8,58;8,65;474433;"Comedy";40400
34602,095;127,8;8,75;5,555;8,1;6,22;491484;"Action";61500
39223,855;150,5;8,165;8,335;8,27;8,41;517077;"Drama";50000
32163,45;131,5;6,72;6,85;6,825;6,965;405787;"Comedy";40600
38568,365;107;7,33;6,16;8,92;7,84;547051;"Comedy";62900
33246,675;118,9;7,555;7,68;7,475;7,665;457316;"Drama";38000
33379,995;156,4;6,865;7,035;6,745;6,905;451646;"Action";37800
31102,445;171,4;8,28;7,74;8,52;8,67;362317;"Thriller";44400
35440,9;169,7;9,24;9,39;9,235;9,365;359760;"Drama";26200
35579,775;173,5;7,625;7,75;7,495;5,795;455983;"Comedy";43900
36457,465;169,1;8,48;8,665;8,545;8,62;493498;"Drama";65000
32418,98;166,2;8,865;8,895;7,935;7,01;438703;"Action";26200
31102,445;159,2;7,655;7,835;7,64;7,96;422375;"Thriller";27800
33174,46;113,9;8,225;8,04;8,895;8,975;515199;"Thriller";44700
32446,755;134,9;8,305;8,36;8,19;8,39;474433;"Comedy";40000
34502,105;80;6,98;7,17;7,08;7,33;473146;"Thriller";49400
35452,01;104,8;9,17;8,07;8,015;9,03;346747;"Comedy";35700
33685,52;146,8;8,485;9,03;8,56;8,69;480067;"Thriller";39000
39912,675;134,6;7,485;7,57;7,495;7,515;547051;"Comedy";69400
36318,59;132,2;7,995;8,185;7,94;8,045;502420;"Thriller";48800
32646,735;161,5;8,915;7,43;8,315;8,08;448317;"Comedy";60600
34940,95;91,3;6,69;6,785;6,575;6,725;545499;"Thriller";47000
27625,015;111,3;8,685;8,86;8,685;8,735;447032;"Thriller";32200
36935,195;166,8;9,175;9,445;9,315;9,375;362344;"Comedy";27800
37490,695;159;5,955;7,53;9,14;7,655;498425;"Thriller";47600
34007,71;126,3;8,555;8,83;8,615;8,725;501252;"Thriller";44200
36024,175;173,5;8,855;9,1;8,9;9,19;387633;"Thriller";30800
34341,01;166,9;9,135;8,005;9,03;9,495;503379;"Drama";45000
36696,33;152,4;8,345;8,715;8,71;9,175;513390;"Thriller";73600
43134,575;165,9;9;9,155;6,875;7,83;373575;"Comedy";23500
24264,24;164,7;9,25;9,33;9,26;9,28;269764;"Thriller";17600
29463,72;170,8;8,86;9,005;8,795;9,135;340338;"Drama";24000
33496,65;154,3;8,64;8,88;8,68;8,79;518438;"Comedy";38000
33379,995;166,1;5,96;8,03;7,515;8,73;451935;"Action";29300
42273,55;173,5;7,32;6,915;8,9;9,46;461876;"Drama";89300
35635,325;133,2;8,51;5,455;7,165;6,22;496077;"Comedy";47600
32635,625;173,5;9,155;6,52;7,82;8,88;558567;"Action";57500
34502,105;172,3;8,45;6,665;8,47;8,885;401740;"Comedy";36400
33107,8;165,6;8,045;8,185;8,02;8;402133;"Comedy";43400
38612,805;95;6,73;6,82;6,645;6,845;512163;"Comedy";66000
36685,22;143,7;8,995;6,845;8,855;9,24;439085;"Comedy";72600
32957,815;160,8;8,095;8,86;8,815;8,675;411619;"Comedy";54400
32918,93;116,1;8,725;8,93;8,805;8,78;462430;"Thriller";49000
30374,74;173,5;9,18;9,4;9,21;9,385;308802;"Comedy";31200
37540,69;106,4;7,9;8,01;7,81;8,12;510207;"Thriller";64800
31280,205;173,5;6,91;7,075;6,85;7;295168;"Comedy";33000
48772,9;171,7;9,01;8,92;9,005;5,595;451935;"Comedy";44600
34229,91;111,9;6,8;6,965;6,8;6,89;501886;"Thriller";48200
40701,485;167,3;7,225;7,92;5,515;8,87;411880;"Thriller";37000
40368,185;91;8,895;8,775;9,11;9,03;437878;"Comedy";40500
42695,73;90,5;8,225;8,35;8,195;8,475;547397;"Drama";93400
31835,705;102,4;8,54;9,23;7,02;7,77;426316;"Comedy";43900
33235,565;172,3;9,02;9,155;8,97;9,12;382738;"Comedy";27200
35140,93;108;5,485;8,15;8,25;7,17;482381;"Comedy";43100
34285,46;95,8;8,55;9,045;8,915;8,41;502830;"Thriller";48900
37224,055;118,5;5,28;7,68;8,64;9,23;470298;"Action";54100
33274,45;155,2;7,72;7,925;7,82;8,015;431225;"Drama";35000
33457,765;163,9;8,5;8,665;8,425;8,745;475124;"Comedy";38800
34035,485;158,7;8,825;9,025;8,915;8,99;442160;"Action";40800
36546,345;103,7;8,78;9,005;7,44;5,655;450482;"Thriller";45300
30296,97;166,2;8,95;9,215;9,02;9,175;411264;"Comedy";30400
34107,7;119,3;7,84;7,97;7,87;8,14;490040;"Thriller";41600
37224,055;153,4;8,59;8,785;9,115;9,07;451935;"Comedy";31800
32596,74;105,6;7,245;7,86;8,76;8,975;528690;"Drama";41300
35740,87;162,3;7,225;7,14;8,02;8,8;352670;"Action";52600
43623,415;106,7;7,315;7,485;7,35;7,615;546954;"Comedy";97000
37318,49;91;5,96;6,2;5,96;6,23;531248;"Comedy";52400
32530,08;142,3;8,125;7,705;9,225;9,23;483058;"Thriller";51200
33779,955;119,3;9,015;8,65;7,225;8,305;411619;"Thriller";44000
30952,46;165,9;8,855;6,79;6,655;9,055;440780;"Drama";31900
34091,035;160,9;8,515;8,79;8,56;8,71;443252;"Comedy";38600
34268,795;80,1;7,035;7,27;7,06;7,19;526836;"Thriller";50600
