"SEX";"MARITAL_STATUS";"AGE";"QUANT_DEPENDANTS";"MONTHS_IN_RESIDENCE";"MONTHS_IN_THE_JOB";"PERSONAL_NET_INCOME";"DELINQ"
"F";"C";41;0;192;180;700;"0"
"F";"S";21;0;24;24;281;"1"
"M";"C";46;0;12;120;600;"0"
"F";"S";36;0;432;12;201;"0"
"M";"S";20;0;36;12;250;"0"
"F";"V";65;0;72;12;1061;"0"
"F";"C";37;0;60;72;2056;"0"
"F";"S";36;0;168;24;200;"0"
"F";"C";45;0;144;12;155;"0"
"F";"S";19;0;252;0;320;"1"
"F";"S";35;0;24;72;524;"0"
"F";"C";51;0;12;0;960;"0"
"F";"S";34;0;408;24;702;"1"
"M";"S";33;0;12;12;260;"0"
"F";"S";37;0;156;24;459;"0"
"F";"C";31;0;24;48;412;"0"
"M";"C";53;0;420;84;806;"0"
"F";"S";17;0;204;0;400;"0"
"F";"S";28;0;348;24;887;"0"
"M";"V";74;0;12;0;360;"1"
"F";"C";42;0;120;36;900;"0"
"F";"S";28;0;120;36;180;"0"
"M";"S";18;0;24;12;497;"1"
"F";"C";40;0;480;24;239;"0"
"M";"C";40;0;24;72;2251;"0"
"F";"S";29;0;348;12;220;"0"
"F";"S";20;0;24;12;300;"0"
"M";"O";48;0;564;216;80;"0"
"M";"C";27;0;36;0;450;"1"
"M";"C";30;0;348;36;1000;"0"
"F";"C";20;0;84;36;266;"0"
"M";"S";66;0;36;276;2314;"0"
"F";"S";34;0;72;24;210;"0"
"F";"S";33;0;120;0;171;"0"
"F";"S";19;0;36;24;450;"1"
"F";"S";22;0;12;72;300;"0"
"M";"C";44;0;240;12;937;"0"
"M";"C";26;0;36;84;450;"0"
"M";"C";53;0;12;252;687;"1"
"M";"C";54;0;192;0;1571;"1"
"F";"S";21;0;228;0;362;"0"
"F";"S";21;0;12;12;310;"0"
"F";"S";20;0;120;0;180;"0"
"F";"S";72;0;420;0;249;"0"
"F";"C";65;0;36;312;600;"0"
"F";"S";30;0;144;0;200;"0"
"F";"C";46;0;468;12;300;"1"
"M";"S";31;0;444;12;200;"0"
"M";"S";20;0;240;72;367;"0"
"M";"C";33;0;120;60;220;"0"
"F";"S";33;0;12;36;564;"0"
"F";"S";51;0;204;216;1019;"0"
"M";"C";35;0;60;72;504;"0"
"F";"C";39;0;108;84;1200;"0"
"F";"C";47;0;12;0;350;"0"
"F";"O";29;0;288;12;1200;"1"
"F";"C";35;0;12;120;900;"1"
"F";"S";21;0;12;12;402;"1"
"M";"C";32;0;12;24;500;"0"
"F";"S";18;0;24;12;546;"1"
"M";"C";35;0;240;12;437;"1"
"F";"S";29;0;348;0;200;"0"
"M";"S";20;0;240;24;245;"0"
"M";"S";19;0;480;0;180;"0"
"F";"C";30;0;120;0;450;"0"
"F";"V";45;0;168;108;180;"0"
"F";"S";26;0;120;12;270;"0"
"M";"S";26;0;120;12;600;"0"
"M";"C";54;0;156;192;5000;"1"
"F";"C";44;0;528;108;2000;"0"
"M";"C";61;0;336;228;1070;"0"
"F";"C";31;0;360;0;0;"0"
"M";"S";45;0;300;0;300;"0"
"F";"C";38;0;204;60;700;"0"
"M";"S";23;0;144;0;350;"0"
"F";"S";21;0;252;0;400;"1"
"M";"S";23;0;120;12;168;"0"
"F";"O";24;0;12;24;300;"0"
"M";"S";22;0;264;12;2000;"0"
"F";"V";62;0;444;72;900;"0"
"F";"S";54;0;72;48;266;"1"
"M";"S";19;0;240;0;226;"0"
"F";"C";53;0;636;0;220;"0"
"M";"S";21;0;264;48;500;"0"
"M";"C";31;0;72;96;800;"0"
"F";"S";19;0;96;0;225;"1"
"F";"V";44;0;72;60;498;"1"
"F";"S";33;0;360;12;339;"0"
"F";"C";52;0;156;360;2233;"0"
"F";"C";28;0;36;0;300;"0"
"M";"S";20;0;120;12;200;"0"
"M";"S";19;0;240;24;1000;"1"
"F";"S";37;0;192;0;360;"0"
"F";"V";56;0;684;12;903;"0"
"M";"S";21;0;12;36;314;"1"
"F";"C";24;0;12;12;400;"0"
"F";"C";44;0;24;36;398;"0"
"M";"S";20;0;72;12;358;"1"
"M";"C";51;0;84;384;2000;"0"
"M";"C";37;0;180;72;1500;"0"
"F";"C";24;0;24;24;236;"1"
"M";"C";29;0;60;84;217;"0"
"F";"O";20;0;24;24;600;"1"
"F";"C";34;0;180;60;800;"0"
"F";"V";48;0;12;96;463;"0"
"F";"S";29;0;336;12;400;"1"
"F";"C";55;0;240;36;1369;"0"
"F";"S";26;0;24;72;800;"0"
"M";"S";21;0;12;12;250;"0"
"F";"S";17;0;120;12;230;"1"
"M";"S";23;0;276;24;274;"1"
"F";"C";46;0;240;240;720;"0"
"M";"S";30;0;12;48;600;"0"
"F";"S";23;0;240;0;907;"1"
"F";"O";32;0;24;180;600;"1"
"F";"C";40;0;12;120;1060;"0"
"F";"O";55;0;216;36;243;"0"
"F";"V";38;0;12;12;300;"0"
"F";"D";40;0;204;300;1200;"0"
"M";"C";35;0;96;96;359;"0"
"F";"S";53;0;84;0;800;"0"
"F";"C";37;0;36;24;300;"0"
"F";"S";21;0;36;24;400;"0"
"F";"C";32;0;168;180;800;"0"
"F";"S";19;0;96;12;282;"0"
"M";"S";23;0;276;24;400;"0"
"F";"S";21;0;12;36;573;"0"
"F";"S";19;0;228;12;216;"0"
"F";"C";33;0;180;36;645;"1"
"F";"S";19;0;120;12;200;"0"
"F";"S";23;0;276;60;250;"0"
"F";"C";40;0;240;0;400;"0"
"F";"S";55;0;144;180;547;"0"
"F";"S";19;0;216;12;202;"0"
"F";"V";68;0;144;60;360;"0"
"F";"S";21;0;240;24;307;"0"
"F";"S";54;0;36;24;203;"1"
"F";"S";16;0;48;60;700;"0"
"F";"D";58;0;420;180;540;"0"
"F";"S";34;0;156;0;380;"0"
"F";"S";22;0;96;12;250;"0"
"F";"S";24;0;72;0;397;"0"
"F";"S";18;0;12;12;260;"0"
"M";"C";35;0;144;156;985;"1"
"F";"S";19;0;120;0;259;"0"
"M";"C";30;0;120;156;1800;"0"
"F";"D";40;0;192;0;2000;"1"
"M";"S";25;0;36;0;250;"1"
"M";"C";31;0;192;60;550;"1"
"F";"S";21;0;24;12;2000;"0"
"M";"S";20;0;60;12;291;"0"
"F";"S";20;0;120;12;1000;"1"
"F";"O";47;0;0;12;698;"0"
"F";"C";45;0;0;0;1062;"0"
"F";"S";24;0;36;48;400;"0"
"F";"S";50;0;612;48;400;"0"
"F";"S";46;0;180;360;514;"0"
"F";"S";39;0;180;0;0;"0"
"F";"O";32;0;60;36;500;"0"
"F";"S";40;0;216;24;266;"0"
"M";"C";43;0;168;12;338;"0"
"M";"C";55;0;48;48;407;"1"
"M";"C";37;0;420;12;802;"0"
"M";"O";26;0;12;12;430;"0"
"M";"C";43;0;156;252;2000;"0"
"F";"S";46;0;312;120;750;"0"
"F";"S";28;0;60;36;600;"0"
"M";"O";33;0;60;0;175;"0"
"M";"S";23;0;264;12;230;"0"
"M";"C";59;0;336;60;447;"0"
"M";"S";23;0;24;12;200;"1"
"F";"S";27;0;336;48;267;"1"
"F";"C";37;0;60;12;370;"1"
"M";"S";26;0;312;36;600;"0"
"M";"S";22;0;120;0;260;"0"
"F";"S";19;0;240;12;400;"0"
"M";"S";51;0;360;216;900;"0"
"F";"V";68;0;600;48;801;"0"
"F";"D";46;0;24;12;2000;"1"
"M";"S";19;0;60;0;250;"1"
"F";"C";28;0;0;0;240;"0"
"M";"S";23;0;24;24;700;"0"
"F";"S";27;0;72;24;350;"0"
"M";"S";19;0;228;0;270;"1"
"M";"S";20;0;180;24;600;"0"
"F";"S";46;0;24;168;880;"1"
"F";"S";34;0;420;144;700;"0"
"M";"S";20;0;240;0;260;"0"
"F";"C";23;0;12;24;2713;"0"
"F";"C";60;0;360;0;754;"0"
"F";"S";24;0;288;36;800;"0"
"F";"S";22;0;276;12;480;"0"
"M";"D";55;0;48;420;1200;"1"
"F";"V";28;0;120;24;328;"1"
"M";"C";46;0;120;108;560;"0"
