Номер примера;Количество комнат;Общая площадь;Жилая площадь;Тип дома;Этажность квартиры;Этажность дома;Площадь кухни;Индекс места;Минут ходьбы;Телефон;Балкон / Лоджия;Цена
1;2;44;27;1;5;9;6;106;10;1;0;47000
2;1;35;19;1;13;16;9;88;5;1;1;42000
3;3;85;56;0;4;9;10;59;20;1;2;112000
4;4;133;74;1;1;16;20;117;30;1;2;136000
5;3;67;48;0;1;8;7;14;5;1;0;90000
6;3;65;45;1;17;22;11;63;25;1;2;91000
7;3;76;46;1;8;16;11;63;15;1;2;130000
8;2;44;29;0;1;3;7;126;35;0;0;24000
9;1;35;18;0;2;14;8;105;25;1;1;42000
10;1;30;17;0;1;9;6;16;10;1;0;45000
11;2;45;29;1;4;5;6;125;50;1;2;30000
12;3;80;50;0;9;9;10;19;7;1;2;135000
13;1;39;22;1;6;12;13;63;35;1;2;47000
14;2;53;34;1;7;16;9;67;10;1;2;82000
15;2;38;24;1;11;12;6;63;35;1;2;43000
16;3;65;44;0;3;9;9;90;10;1;0;72000
17;3;56;42;0;5;5;5;87;3;1;2;53000
18;3;58;38;0;6;9;10;100;15;1;2;56000
19;1;39;20;1;14;14;8;121;40;1;1;36000
20;2;65;35;1;9;17;10;97;15;1;1;68000
21;2;38;26;1;2;5;6;93;5;1;0;40000
22;2;44;29;0;5;5;6;43;10;1;2;53000
23;3;74;46;1;11;16;10;31;5;1;2;120000
24;2;46;28;1;2;5;7;40;15;1;0;51000
25;3;76;48;0;6;6;12;37;7;1;2;130000
26;1;34;19;1;9;9;7;54;3;1;0;42000
27;1;39;21;1;2;12;9;77;10;1;0;44000
28;2;48;29;1;1;9;10;97;10;1;3;48000
29;2;49;31;0;5;8;8;36;3;1;0;74000
30;2;43;29;0;2;9;6;110;15;0;0;45000
31;3;86;55;0;6;9;8;26;5;1;2;125000
32;3;75;45;1;13;17;11;8;5;1;2;140000
33;3;64;44;0;3;5;12;69;5;1;2;91000
34;2;60;35;1;1;17;10;77;10;1;0;58000
35;4;100;68;0;6;6;9;20;10;1;2;138000
36;3;65;45;2;9;9;8;105;3;1;1;73000
