Номер примера;Количество комнат;Общая площадь;Жилая площадь;Тип дома;Этажность квартиры;Этажность дома;Площадь кухни;Индекс места;Минут ходьбы;Телефон;Балкон / Лоджия;Цена
5001;2;60;34;1;16;17;11;117;25;1;1;75000
5002;2;40;25;2;5;9;7;16;10;1;2;75000
5003;3;63;39;1;1;14;9;83;30;1;0;58500
5004;3;80;45;0;7;7;9;43;10;1;2;129000
5005;2;47;31;0;2;5;5;86;20;1;2;46000
5006;1;38;19;1;13;16;9;109;7;1;2;46000
5007;3;63;45;1;2;12;7;106;10;1;2;73000
5008;2;50;30;2;10;17;9;117;50;1;2;60000
5009;1;32;22;2;5;9;6;46;10;1;2;38000
5010;3;76;46;1;5;16;10;75;15;1;3;100000
5011;2;45;29;1;3;5;6;102;5;1;2;48000
5012;3;69;45;0;4;5;9;51;7;1;0;110000
5013;3;74;45;1;11;16;10;119;20;0;1;73000
5014;3;61;39;0;3;7;9;0;5;1;2;134000
5015;2;58;36;0;4;4;9;87;7;1;2;71000
5016;1;18;14;0;3;5;3;62;12;1;0;26000
5017;3;70;47;0;4;5;8;62;5;1;0;85000
